Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
439.600000,434.60000,,91.5,,VK3RDX,"Melbourne East - Mt Waverley",Victoria,Australia,FM WIRES-X ,
439.625000,434.62500,,88.5,,VK3RBY,"Bayswater",Victoria,Australia,FM Fusion ,
439.650000,434.65000,,91.5,,VK3RSA,"Emerald - Water Tower",Victoria,Australia,P-25 ,
439.675000,432.67500,,123.0,,VK3RBA,"Ballarat - Mt Buninyong",Victoria,Australia,AllStar DMR P-25 ,1
439.675000,434.67500,,,,VK3RZU,"Vic Highlands - Mt Buller",Victoria,Australia,FM ,
439.725000,434.72500,,,,VK3RPS,"Melbourne West - Mt Cottrell",Victoria,Australia,FM DMR Fusion ,1
439.750000,434.75000,,91.5,,VK3RAJ,"Ferntree Gully - Upwey",Victoria,Australia,FM EchoLink IRLP ,
439.775000,434.77500,,123.0,,VK3RGV,"Euroa - Mt Wombat",Victoria,Australia,FM ,
439.800000,434.80000,,91.5,91.5,VK3RMU,"Healesville - Mt St Leonard",Victoria,Australia,FM P-25 ,
439.825000,432.82500,,91.5,,VK3RMM,"Mt Macedon - Mt Macedon",Victoria,Australia,FM ,
439.825000,434.82500,,,,VK3RBL,"Renmark - Bambill South",Victoria,Australia,FM ,
439.850000,434.85000,,91.5,,VK3RPU,"Rosebud - Arthur's Seat",Victoria,Australia,FM ,
439.875000,434.87500,,91.5,,VK3RMC,"Dandenong Sth - Narre Warren",Victoria,Australia,FM IRLP P-25 ,
439.875000,434.87500,,,,VK3RDU,"Shepparton - Mt Major",Victoria,Australia,FM ,
439.875000,434.87500,,91.5,,VK3RWL,"Warrnambool - Mt. Warrnambool",Victoria,Australia,FM ,
439.900000,434.90000,,,,VK3RSE,"Melbourne East - Glen Waverley",Victoria,Australia,FM ,
439.925000,434.92500,,,,VK3RBQ,"Dimboola - CBD",Victoria,Australia,DMR ,1
439.950000,434.95000,,91.5,,VK3RPL,"Portland - Point Danger",Victoria,Australia,FM ,
439.950000,434.95000,,91.5,,VK3RYN,"Yallourn North",Victoria,Australia,FM ,
439.950000,434.95000,,,,VK3RMG,"Yea - Mt Broughton",Victoria,Australia,FM ,
440.950000,420.95000,,,,VK3RSG,"Phillip Island - Bass Hill",Victoria,Australia,FM ,
446.500000,1250.00000,,,,VK3RTV,"Sassafras - Olinda",Victoria,Australia,ATV ,
1273.100000,1293.10000,,,,VK3RCC,"Melbourne - CBD East",Victoria,Australia,FM ,
1273.350000,1293.35000,,,,VK3RLV,"Callignee - Mt Tassie",Victoria,Australia,FM ,
1273.400000,1293.40000,,,,VK3RHF,"Melbourne North West - Mt Macedon",Victoria,Australia,FM ,
1273.450000,1293.45000,,,,VK3RMN,"Kinglake Central - Kinglake",Victoria,Australia,FM ,
1273.600000,1293.60000,,,,VK3RMC,"Dandenong Sth - Narre Warren",Victoria,Australia,FM ,
1273.650000,1293.65000,,,,VK3RPS,"Melbourne West - Mt Cottrell",Victoria,Australia,FM ,
1273.900000,1293.90000,,,,VK3RWN,"Sassafras - Olinda",Victoria,Australia,DSTAR ,
1273.925000,1293.92500,,91.5,,VK3RBA,"Ballarat - Mt Buninyong",Victoria,Australia,FM AllStar ,
1273.950000,1293.95000,,,,VK3RMC,"Dandenong Sth - Narre Warren",Victoria,Australia,FM ,
2415.000000,1250.00000,,,,VK3RBO,"Bendigo - Specimen Hill",Victoria,Australia,ATV ,
